NIS, CHI_2 
5.0655, 7.815
0.36516, 5.991 
5.55913, 7.815
3.07075, 5.991 
3.07219, 7.815
1.83531, 5.991 
2.35405, 7.815
2.80138, 5.991 
5.3125, 7.815
0.200615, 5.991 
6.43399, 7.815
0.313477, 5.991 
5.89323, 7.815
0.0721258, 5.991 
7.70599, 7.815
0.078941, 5.991 
1.44364, 7.815
0.398188, 5.991 
1.70534, 7.815
0.408297, 5.991 
3.12696, 7.815
1.68225, 5.991 
0.382824, 7.815
1.74846, 5.991 
0.989951, 7.815
1.13457, 5.991 
1.11413, 7.815
1.6111, 5.991 
4.18294, 7.815
1.52538, 5.991 
6.26845, 7.815
2.31941, 5.991 
6.44696, 7.815
0.0687411, 5.991 
3.43369, 7.815
1.18038, 5.991 
2.92248, 7.815
0.956984, 5.991 
3.02805, 7.815
0.744773, 5.991 
3.5329, 7.815
0.0644559, 5.991 
3.84409, 7.815
0.166594, 5.991 
5.98693, 7.815
4.58804, 5.991 
1.44582, 7.815
2.64919, 5.991 
2.91151, 7.815
2.3892, 5.991 
1.99038, 7.815
1.06035, 5.991 
2.49747, 7.815
2.24368, 5.991 
1.47628, 7.815
1.57698, 5.991 
3.86271, 7.815
0.212147, 5.991 
5.22464, 7.815
1.34878, 5.991 
3.42951, 7.815
0.934358, 5.991 
3.32805, 7.815
0.117425, 5.991 
1.51341, 7.815
0.681945, 5.991 
1.47123, 7.815
0.293713, 5.991 
0.95923, 7.815
1.24667, 5.991 
2.10934, 7.815
2.22713, 5.991 
2.31225, 7.815
2.19143, 5.991 
1.61828, 7.815
0.20765, 5.991 
4.81875, 7.815
0.0143489, 5.991 
7.48362, 7.815
0.00191421, 5.991 
7.63955, 7.815
0.788796, 5.991 
0.77308, 7.815
0.129616, 5.991 
2.44515, 7.815
0.251973, 5.991 
2.88283, 7.815
7.31063, 5.991 
0.830484, 7.815
5.04931, 5.991 
0.88663, 7.815
4.64807, 5.991 
2.26214, 7.815
1.10965, 5.991 
1.14735, 7.815
0.372564, 5.991 
0.557706, 7.815
0.734303, 5.991 
0.879435, 7.815
2.40828, 5.991 
2.1706, 7.815
2.54276, 5.991 
2.70182, 7.815
2.47119, 5.991 
3.37543, 7.815
4.78419, 5.991 
2.02646, 7.815
4.14684, 5.991 
2.25572, 7.815
4.41275, 5.991 
1.76249, 7.815
1.35978, 5.991 
5.21219, 7.815
